dek,university,faculty,program,count
dek67,จุฬาลงกรณ์มหาวิทยาลัย,วิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,312
dek67,จุฬาลงกรณ์มหาวิทยาลัย,วิศวกรรมศาสตร์,วิศวกรรมไฟฟ้า,278
dek67,จุฬาลงกรณ์มหาวิทยาลัย,วิศวกรรมศาสตร์,วิศวกรรมเคมี,145
dek67,จุฬาลงกรณ์มหาวิทยาลัย,แพทยศาสตร์,แพทยศาสตร์บัณฑิต,189
dek67,จุฬาลงกรณ์มหาวิทยาลัย,นิติศาสตร์,นิติศาสตร์บัณฑิต,145
dek67,จุฬาลงกรณ์มหาวิทยาลัย,รัฐศาสตร์,การปกครอง,98
dek67,จุฬาลงกรณ์มหาวิทยาลัย,รัฐศาสตร์,ความสัมพันธ์ระหว่างประเทศ,87
dek67,จุฬาลงกรณ์มหาวิทยาลัย,เศรษฐศาสตร์,เศรษฐศาสตร์บัณฑิต,134
dek67,จุฬาลงกรณ์มหาวิทยาลัย,อักษรศาสตร์,ภาษาอังกฤษ,112
dek67,จุฬาลงกรณ์มหาวิทยาลัย,สถาปัตยกรรมศาสตร์,สถาปัตยกรรม,76
dek67,มหาวิทยาลัยมหิดล,แพทยศาสตร์ศิริราช,แพทยศาสตร์บัณฑิต,210
dek67,มหาวิทยาลัยมหิดล,แพทยศาสตร์ศิริราช,วิทยาศาสตร์การแพทย์,89
dek67,มหาวิทยาลัยมหิดล,วิทยาศาสตร์,เทคโนโลยีชีวภาพ,98
dek67,มหาวิทยาลัยมหิดล,วิทยาศาสตร์,เคมี,67
dek67,มหาวิทยาลัยมหิดล,เภสัชศาสตร์,เภสัชศาสตร์บัณฑิต,103
dek67,มหาวิทยาลัยมหิดล,วิศวกรรมศาสตร์,วิศวกรรมชีวการแพทย์,54
dek67,มหาวิทยาลัยธรรมศาสตร์,นิติศาสตร์,นิติศาสตร์บัณฑิต,167
dek67,มหาวิทยาลัยธรรมศาสตร์,เศรษฐศาสตร์,เศรษฐศาสตร์บัณฑิต,134
dek67,มหาวิทยาลัยธรรมศาสตร์,รัฐศาสตร์,การปกครอง,91
dek67,มหาวิทยาลัยธรรมศาสตร์,วิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,78
dek67,มหาวิทยาลัยธรรมศาสตร์,แพทยศาสตร์,แพทยศาสตร์บัณฑิต,62
dek67,มหาวิทยาลัยเกษตรศาสตร์,วิศวกรรมศาสตร์,วิศวกรรมซอฟต์แวร์,95
dek67,มหาวิทยาลัยเกษตรศาสตร์,วิทยาศาสตร์,วิทยาการคอมพิวเตอร์,87
dek67,มหาวิทยาลัยเกษตรศาสตร์,เกษตร,เกษตรศาสตร์,56
dek67,มหาวิทยาลัยเกษตรศาสตร์,บริหารธุรกิจ,การจัดการ,72
dek68,จุฬาลงกรณ์มหาวิทยาลัย,วิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,287
dek68,จุฬาลงกรณ์มหาวิทยาลัย,วิศวกรรมศาสตร์,วิศวกรรมไฟฟ้า,254
dek68,จุฬาลงกรณ์มหาวิทยาลัย,วิศวกรรมศาสตร์,วิศวกรรมเคมี,132
dek68,จุฬาลงกรณ์มหาวิทยาลัย,แพทยศาสตร์,แพทยศาสตร์บัณฑิต,201
dek68,จุฬาลงกรณ์มหาวิทยาลัย,นิติศาสตร์,นิติศาสตร์บัณฑิต,138
dek68,จุฬาลงกรณ์มหาวิทยาลัย,รัฐศาสตร์,การปกครอง,156
dek68,จุฬาลงกรณ์มหาวิทยาลัย,รัฐศาสตร์,ความสัมพันธ์ระหว่างประเทศ,94
dek68,จุฬาลงกรณ์มหาวิทยาลัย,เศรษฐศาสตร์,เศรษฐศาสตร์บัณฑิต,121
dek68,จุฬาลงกรณ์มหาวิทยาลัย,อักษรศาสตร์,ภาษาอังกฤษ,108
dek68,จุฬาลงกรณ์มหาวิทยาลัย,สถาปัตยกรรมศาสตร์,สถาปัตยกรรม,69
dek68,มหาวิทยาลัยมหิดล,แพทยศาสตร์ศิริราช,แพทยศาสตร์บัณฑิต,224
dek68,มหาวิทยาลัยมหิดล,แพทยศาสตร์ศิริราช,วิทยาศาสตร์การแพทย์,95
dek68,มหาวิทยาลัยมหิดล,วิทยาศาสตร์,เทคโนโลยีชีวภาพ,104
dek68,มหาวิทยาลัยมหิดล,วิทยาศาสตร์,เคมี,71
dek68,มหาวิทยาลัยมหิดล,เภสัชศาสตร์,เภสัชศาสตร์บัณฑิต,112
dek68,มหาวิทยาลัยมหิดล,วิศวกรรมศาสตร์,วิศวกรรมชีวการแพทย์,61
dek68,มหาวิทยาลัยธรรมศาสตร์,นิติศาสตร์,นิติศาสตร์บัณฑิต,178
dek68,มหาวิทยาลัยธรรมศาสตร์,เศรษฐศาสตร์,เศรษฐศาสตร์บัณฑิต,145
dek68,มหาวิทยาลัยธรรมศาสตร์,รัฐศาสตร์,การปกครอง,99
dek68,มหาวิทยาลัยธรรมศาสตร์,วิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,85
dek68,มหาวิทยาลัยธรรมศาสตร์,แพทยศาสตร์,แพทยศาสตร์บัณฑิต,71
dek68,มหาวิทยาลัยเกษตรศาสตร์,วิศวกรรมศาสตร์,วิศวกรรมซอฟต์แวร์,102
dek68,มหาวิทยาลัยเกษตรศาสตร์,วิทยาศาสตร์,วิทยาการคอมพิวเตอร์,91
dek68,มหาวิทยาลัยเกษตรศาสตร์,เกษตร,เกษตรศาสตร์,60
dek68,มหาวิทยาลัยเกษตรศาสตร์,บริหารธุรกิจ,การจัดการ,78
dek69,จุฬาลงกรณ์มหาวิทยาลัย,วิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,298
dek69,จุฬาลงกรณ์มหาวิทยาลัย,วิศวกรรมศาสตร์,วิศวกรรมไฟฟ้า,261
dek69,จุฬาลงกรณ์มหาวิทยาลัย,วิศวกรรมศาสตร์,วิศวกรรมเคมี,128
dek69,จุฬาลงกรณ์มหาวิทยาลัย,แพทยศาสตร์,แพทยศาสตร์บัณฑิต,215
dek69,จุฬาลงกรณ์มหาวิทยาลัย,นิติศาสตร์,นิติศาสตร์บัณฑิต,141
dek69,จุฬาลงกรณ์มหาวิทยาลัย,รัฐศาสตร์,การปกครอง,102
dek69,จุฬาลงกรณ์มหาวิทยาลัย,รัฐศาสตร์,ความสัมพันธ์ระหว่างประเทศ,91
dek69,จุฬาลงกรณ์มหาวิทยาลัย,เศรษฐศาสตร์,เศรษฐศาสตร์บัณฑิต,118
dek69,จุฬาลงกรณ์มหาวิทยาลัย,อักษรศาสตร์,ภาษาอังกฤษ,95
dek69,จุฬาลงกรณ์มหาวิทยาลัย,สถาปัตยกรรมศาสตร์,สถาปัตยกรรม,72
dek69,มหาวิทยาลัยมหิดล,แพทยศาสตร์ศิริราช,แพทยศาสตร์บัณฑิต,198
dek69,มหาวิทยาลัยมหิดล,แพทยศาสตร์ศิริราช,วิทยาศาสตร์การแพทย์,91
dek69,มหาวิทยาลัยมหิดล,วิทยาศาสตร์,เทคโนโลยีชีวภาพ,97
dek69,มหาวิทยาลัยมหิดล,วิทยาศาสตร์,เคมี,64
dek69,มหาวิทยาลัยมหิดล,เภสัชศาสตร์,เภสัชศาสตร์บัณฑิต,109
dek69,มหาวิทยาลัยมหิดล,วิศวกรรมศาสตร์,วิศวกรรมชีวการแพทย์,58
dek69,มหาวิทยาลัยธรรมศาสตร์,นิติศาสตร์,นิติศาสตร์บัณฑิต,172
dek69,มหาวิทยาลัยธรรมศาสตร์,เศรษฐศาสตร์,เศรษฐศาสตร์บัณฑิต,143
dek69,มหาวิทยาลัยธรรมศาสตร์,รัฐศาสตร์,การปกครอง,96
dek69,มหาวิทยาลัยธรรมศาสตร์,วิศวกรรมศาสตร์,วิศวกรรมคอมพิวเตอร์,82
